NR_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO
500;LUIZ FERNANDO SANTOS;PSOL
355;GABRIELLE BURCCI;PMB
408;LEILA DO VÔLEI;PSB
181;PAULO HENRIQUE;REDE
434;RUDSON LEITE;PV
500;FABRÍCIO ROSA;PSOL
544;BISPO DAMASCENO;PPL
456;MARCONI PERILLO;PSDB
181;FABIANO CONTARATO;REDE
144;HELDER CARNIELLI;PTB
123;FÁBIO CHEREM;PDT
455;ATAÍDES OLIVEIRA;PSDB
212;TELMA TAUREPANG;PCB
131;WASNY;PT
191;PROFESSOR ORIOVISTO GUIMARAES;PODE
180;CHICO LEITE;REDE
180;MOIRA LÁZARO MANDATO COLETIVO;REDE
123;ANGELA PORTELA;PDT
231;JORGE AMANAJAS;PPS
160;JOÃO AUGUSTO;PSTU
456;IZALCI;PSDB
151;MARCELO BARBIERI;MDB
180;RANDOLFE ;REDE
191;MARIO COVAS NETO;PODE
177;PEDRAZZA;PSL
188;DIEGO MEZZOGIORNO;REDE
777;FERNANDO MARQUES;SOLIDARIEDADE
444;BOGO;PRP
155;CIDINHA;MDB
144;JÚLIO MARTINS;PTB
290;ALBETIZA;PCO
177;JAIME BAGATTOLI;PSL
251;JAYME CAMPOS;DEM
456;MARCELO MIGLIOLI;PSDB
170;ANTÔNIO JOSÉ LIRA;PSL
123;NELTON;PDT
777;PEDRO TAQUES;SOLIDARIEDADE
222;LUCIANO CASTRO;PR
300;ULISSES PINCELLI;NOVO
144;WALISSON NASCIMENTO;PTB
180;PASTOR JAIRINHO;REDE
350;TERRINHA;PMB
290;ANDREÁ LUCIANO CARVALHO;PCO
131;PAULO MOURÃO;PT
111;HELIO QUEIROZ;PP
457;MARA GABRILLI;PSDB
135;LUIS CÉSAR BUENO;PT
456;ALEXANDRE ALMEIDA;PSDB
313;DR. ZENAIDE MAIA;PHS
151;JADER BARBALHO;MDB
500;ROMER GUEX;PSOL
360;ROBERT BURNS;PTC
177;CADU SILVA;PSL
555;RAIMUNDO COLOMBO;PSD
170;FARLEI O FEDERAL;PSL
505;EDUCADOR DANIEL CARA;PSOL
200;PASTOR EVERALDO;PSC
161;TITO PAZ;PSTU
500;CHICO ALENCAR;PSOL
232;ELIZIANE GAMA;PPS
177;ANTÔNIO JORGE;PSL
131;VALDIR BARRANCO;PT
277;KALED;DC
101;FRANK AGUIAR;PRB
700;EUCLIDES RIBEIRO;AVANTE
456;BETO RICHA;PSDB
277;COMPADRE LUIZ ADÃO;DC
188;PEDRO HENRIQUE DE CRISTO;REDE
500;PROFESSOR LAILSON;PSOL
400;JANETE CAPIBERIBE;PSB
700;QUEM QUEM;AVANTE
170;SAMOEL DE ITAPECURU;PSL
555;FÁVARO;PSD
151;RENAN;MDB
150;EDISON LOBÃO;MDB
547;ALADIR;PPL
160;SAMANTHA GUEDES;PSTU
511;SERGIO CABRAL;PATRIOTA
456;RODRIGO CUNHA;PSDB
444;JORGE KAJURU;PRP
407;PRADO SÁ;PSB
360;GUARACY;PTC
161;CLARCKSON MESSIAS;PSTU
222;PROFESSORA AMÁBILE;PR
400;JESUALDO PIRES;PSB
277;JOAQUIM SARAIVA;DC
300;DR WALDIR CALDAS;NOVO
502;TELMA GURGEL;PSOL
161;SAULO ARCANGELI;PSTU
290;LUIZ DELVAIR;PCO
505;EUGÊNIA;PSOL
188;MIRO TEIXEIRA;REDE
500;JESUS RODRIGUES;PSOL
111;CARLOS MAGNO;PP
510;ROSELAINE BARROSO FERREIRA;PATRIOTA
433;REYNALDO NUNES;PV
505;RODRIGO TOMAZINI;PSOL
211;MARTA BARÇANTE;PCB
651;ABIGAIL PEREIRA;PC do B
177;PASTOR PEDRO RIBEIRO;PSL
160;MANCHA;PSTU
543;THIAGO FREITAS;PPL
310;JORNALISTA CARLOS VIANA;PHS
161;LOURIVAL;PSTU
355;ROGERIO BERNARDO;PMB
156;JARBAS;MDB
147;LUCAS BARRETO;PTB
144;NELSINHO TRAD;PTB
100;PASTOR EDÉSIO FERNANDES;PRB
100;SENADOR EDUARDO LOPES;PRB
155;EDUARDO BRAGA;MDB
131;LÉDIO ROSA;PT
111;LUIS CARLOS HEINZE;PP
200;GENIVAL OLIVEIRA ;PSC
777;DRA. SANDRA WEBER;SOLIDARIEDADE
900;LIDIA BRUNES;PROS
152;CONFUCIO MOURA;MDB
258;SIQUEIRA CAMPOS;DEM
651;PROFESSOR GERSON DOURAO;PC do B
400;BETO ALBUQUERQUE;PSB
511;CORONEL FERNANDA;PATRIOTA
555;PETECÃO;PSD
181;DELEGADO ALESSANDRO VIEIRA;REDE
300;FABRICIO JURADO;NOVO
181;MINORU KINPARA;REDE
177;SORAYA THRONICKE;PSL
234;BOSCO DA FEDERAL;PPS
222;ANIVALDO VALE;PR
100;FRANCISCO ALVES;PRB
180;LUIZ CASTRO;REDE
459;ROMILDA TEIXEIRA;PSDB
212;CLEBER SOARES;PCB
200;PROMOTOR SERGIO HARFOUCHE;PSC
434;JARBAS VASCONCELOS;PV
131;MIRIAN GONÇALVES;PT
191;JOSÉ MEDEIROS;PODE
540;HENRI CLAY;PPL
288;ZÉ BONI;PRTB
281;JAIR ANDREONI;PRTB
290;GILSON MEZAROBBA;PCO
151;ROBERTO PAULINO;MDB
200;ZEQUINHA MARINHO;PSC
177;SUBTENENTE ASSIS;PSL
500;URSULA VIDAL;PSOL
151;MÁRCIO BITTAR;MDB
144;ALEX CANZIANI;PTB
505;PROFESSOR ANTONIO;PSOL
290;ALEX LIMA ROLA;PCO
500;ALBANISE;PSOL
455;ZÉ REINALDO;PSDB
281;MATTOS NASCIMENTO;PRTB
180;CAPITÃO STYVENSON;REDE
281;BRIGADEIRO ATILA MAIA;PRTB
151;MOKA;MDB
290;FERNANDO FAGUNDES RIBEIRO;PCO
270;SARGENTO ELIZEU NASCIMENTO;DC
233;CRISTOVAM BUARQUE;PPS
177;FLÁVIO BOLSONARO;PSL
455;ASPASIA;PSDB
133;ZECA DO PT;PT
505;PROFESSOR JOSSIMÁRIO MICK;PSOL
151;VALDIR RAUPP;MDB
500;ANISIO GUATO;PSOL
456;NILSON LEITÃO;PSDB
500;MELK AIRES;PSOL
188;SEBASTIÃO CARLOS;REDE
111;DANIELLA RIBEIRO;PP
456;RICARDO FERRAÇO;PSDB
131;PAULO PAIM;PT
131;EDUARDO SUPLICY;PT
405;LÚCIA VÂNIA;PSB
152;GILVAM BORGES;MDB
555;IRAJÁ;PSD
900;EDUARDO GIRÃO;PROS
505;GILBERTO LOPES FILHO;PSOL
133;FÁTIMA CLEIDE;PT
156;ROMERO JUCÁ;MDB
151;JOSÉ FOGAÇA;MDB
456;NILSON LEITÃO;PSDB
177;PR.ISAMAR RAMALHO;PSL
255;CESAR MAIA;DEM
290;FLÁVIA MELO;PCO
160;MAGELA;PSTU
